who_age,lowbound_age,cases_f_ZA,cases_m_ZA,cases_f_India,cases_m_India,cases_f_China,cases_m_China,age_dist_f_ZA,age_dist_m_ZA,age_dist_f_India,age_dist_m_India,age_dist_f_China,age_dist_m_China,p_age_f_ZA,p_age_m_ZA,p_age_f_India,p_age_m_India,p_age_f_China,p_age_m_China,"sources: WHO notification data, and WHO global health repository for age breakdown of all >65 year olds",,,,,,,,,
total adults,,107324,150761,521223,1046780,248755,566364,,,,,,,0.415847492,0.584152508,0.332411992,0.667588008,0.305176299,0.694823701,,,,,,,,,,
15-24,15,19444,16197,155026,186771,43893,78469,,,,,,,0.03766976,0.031379197,0.049434217,0.059556965,0.02692429,0.048133463,,,,,,,,,,
,20,,,,,,,,,,,,,0.03766976,0.031379197,0.049434217,0.059556965,0.02692429,0.048133463,,,,,,,,,,
25-24,25,34769,42188,132171,197298,43255,74973,,,,,,,0.067359591,0.081732762,0.042146284,0.062913783,0.026532936,0.045988991,,,,,,,,,,
,30,,,,,,,,,,,,,0.067359591,0.081732762,0.042146284,0.062913783,0.026532936,0.045988991,,,,,,,,,,
35-44,35,25448,43580,89887,207000,35937,78232,,,,,,,0.049301587,0.084429548,0.028662892,0.066007527,0.022044021,0.047988085,,,,,,,,,,
,40,,,,,,,,,,,,,0.049301587,0.084429548,0.028662892,0.066007527,0.022044021,0.047988085,,,,,,,,,,
45-54,45,14505,27692,64755,194837,38186,102352,,,,,,,0.028101207,0.053648992,0.020648876,0.062129027,0.023423574,0.062783471,,,,,,,,,,
,50,,,,,,,,,,,,,0.028101207,0.053648992,0.020648876,0.062129027,0.023423574,0.062783471,,,,,,,,,,
55-64,55,7569,14403,47920,154262,39749,108902,,,,,,,0.014663774,0.027903598,0.015280583,0.049190595,0.024382329,0.066801289,,,,,,,,,,
,60,,,,,,,,,,,,,0.014663774,0.027903598,0.015280583,0.049190595,0.024382329,0.066801289,,,,,,,,,,
65+,65,5589,6701,31464,106612,47735,123436,63033,47416,74133,10958,87150,82766,0.006092511,0.009501319,0.005683773,0.011241588,0.015108536,0.043681276,,,,,,,,,,
,70,,,,,,,54554,35701,64122,13206,79376,72531,0.005272966,0.007153842,0.00491623,0.013547765,0.013760816,0.038279567,,,,,,,,,,
,75,,,,,,,43890,23889,50868,13880,67387,57735,0.004242227,0.004786929,0.003900047,0.014239208,0.011682374,0.030470706,,,,,,,,,,
,80,,,,,,,31804,13668,36048,12109,50988,39210,0.003074044,0.002738823,0.002763798,0.012422375,0.008839403,0.020693797,,,,,,,,,,
,85,,,,,,,18894,6280,21753,8875,31853,22276,0.001826216,0.0012584,0.001667801,0.009104681,0.005522113,0.011756568,,,,,,,,,,
,90,,,,,,,8633,2103,10505,4870,14940,9305,0.00083443,0.000421404,0.000805418,0.004996033,0.002590035,0.004910885,,,,,,,,,,
,95,,,,,,,2715,459,3513,1854,5001,2623,0.000262421,9.19754E-05,0.000269342,0.001901981,0.000866985,0.001384336,,,,,,,,,,
,100,,,,,,,526,58,781,525,1106,485,5.0841E-05,1.16222E-05,5.98792E-05,0.000538587,0.000191739,0.000255968,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
